acquirer_ID,acquired_ID,date,price,currency
4220,54010,2007-07-16,,USD
4220,57955,2007-10-01,150000.0,USD
4229,52607,2008-11-06,,USD
4229,32728,2013-03-21,,USD
4253,19267,2013-04-01,,USD
4270,52176,2013-12-16,,USD
4270,53046,2012-07-11,,USD
4273,10039,2012-02-01,,USD
4281,57691,2010-11-16,,USD
4282,8462,2010-12-03,,USD
4295,52701,2012-06-21,,USD
4299,55008,2011-01-14,,USD
4299,55091,2010-10-20,,USD
4299,38410,2014-10-21,232500000.0,USD
4311,426,2013-07-15,1900000000.0,USD
4311,50433,2013-12-27,31300000.0,USD
4311,51642,2009-11-30,,USD
4311,53020,2004-09-16,,USD
4311,33229,2013-05-07,,USD
4311,44405,2013-02-01,36000000.0,USD
4321,3425,2009-05-01,1850000.0,USD
4321,9254,2009-05-11,15900000.0,USD
4366,1626,2010-10-05,,USD
4366,4365,2011-08-29,,USD
4366,57484,2013-06-01,,USD
4366,57485,2013-06-03,,USD
4373,51596,2011-02-22,,USD
4384,52903,2013-10-01,,USD
4391,54155,2007-01-01,,USD
4391,58137,2012-08-27,,USD
4423,54498,2013-05-01,,USD
4441,52438,2009-03-05,15700000.0,USD
4441,56826,2001-01-01,3555000.0,USD
4446,5422,2008-11-10,,USD
4446,28746,2007-08-01,,USD
4446,34095,2009-10-13,,USD
4446,38323,2013-05-14,,USD
4446,58370,2009-01-29,,USD
4485,49666,2011-06-07,,USD
4485,50598,2013-02-20,,USD
4485,10389,2012-08-21,,USD
4485,53113,2008-01-01,,USD
4485,53231,2011-06-07,,USD
4485,54449,2011-09-12,,USD
4518,1552,2012-07-01,425000000.0,USD
4518,49847,2013-12-19,2900000000.0,USD
4518,51782,2014-11-05,589000000.0,USD
4518,54414,2014-05-06,14200000000.0,USD
4529,15035,2014-04-15,9000000.0,USD
4529,24638,2012-11-06,,USD
4529,33200,2012-05-24,151000000.0,USD
4558,49211,2013-12-01,,USD
4571,57087,2009-07-13,,USD
4606,27293,2012-07-02,,USD
4607,43607,2014-03-04,,USD
4638,50425,2009-09-01,,USD
4638,55362,2009-10-12,,USD
4655,57299,2014-03-27,,USD
4655,57815,2014-03-15,,USD
4667,30404,2014-08-11,,USD
4710,49479,2010-01-08,,USD
4758,58407,2010-04-21,,USD
4788,53362,2013-12-06,,USD
4827,14859,2011-06-01,,USD
4847,52096,2009-11-13,,USD
4847,52097,2009-11-13,,USD
4873,51294,2008-09-16,,USD
4873,42570,2007-04-15,,USD
4890,11641,2012-07-12,500000.0,USD
4890,53456,2013-04-25,,USD
4890,32345,2013-05-22,,USD
4890,57942,2012-02-23,,USD
4892,50583,2013-04-02,5000000.0,GBP
4892,57681,2009-01-30,50000000.0,USD
4924,20248,2013-10-18,,USD
4952,49675,2010-05-04,,USD
4967,50541,2012-12-12,,USD
4967,13024,2012-05-09,,USD
5018,52960,2009-04-30,,USD
5018,56418,2012-03-06,,USD
5020,49614,2007-04-01,160000.0,GBP
5022,56686,2010-03-04,,USD
5045,30391,2011-09-01,,USD
5052,50607,2012-04-11,,USD
5056,54081,2014-07-21,,USD
5060,50732,2008-07-09,113000.0,USD
5070,49663,2008-11-03,,USD
5070,52247,2012-03-15,,USD
5070,53556,2010-01-15,128000000.0,USD
5070,57173,2012-12-18,,USD
5110,55221,2014-07-17,,USD
5172,57518,2009-09-16,6640000.0,USD
